"Sequence","Country Code","Geographic Area","Reference Date","Population Subgroup","Subpop Code","Sex","Age","Source ID","Comments","Data Type","Country","Site Name","Author","Year","Title","Publication Information","Virus Type","NO_CASES","NO_DEATHS","PREV_RATE","INC_RATE","Specimen Type","Test Type","SAMPSIZE"
"1","AUS","Melbourne","2007-2013","MSM & bisexuals","H","M","ALL","C1449","6391 person yrs. of observation.  Located in Victoria state.  MSM=Men having sex w/ men.  Breakdown by group & age is provided.  1 Jan. 07 - 31 Dec. 13.","I","Australia","Melbourne Sexual Health Centre","Cheung, K. T., C. K. Fairley, T. R. H. Read, et al.",2016,"HIV Incidence and Predictors of Incident HIV among Men Who Have Sex with Men Attending a Sexual Health Clinic in ...","PLoS One, vol. 11, no. 5, e0156160, <http://www.plosone.org>, accessed on May 31, 2016.","HIV","81","-1","-1.00","1.27","B","ELISA, WB","5,256"
"8","AUS","Victoria Territory","1990-1995","IVDU","I","B","ALL","C0197","599.80 person yrs. of observation.  Victorian Injecting Drug Users Cohort Study (VICS).  Metropolitan & rural Victoria.  June 90 - Dec. 95.","I","Australia","Victoria Territory","Crofts, N., C. K. Aitken",1997,"Incidence of Bloodborne Virus Infection and Risk Behaviours in a Cohort of Injecting Drug Users in Victoria, 1990-1995","The Medical Journal of Australia, vol. 167, pp. 17-20, <http://www.mja.com.au>, accessed on May 25, 2000.","HIV","1","-1","-1.00","0.17","BW","UNK","N/A"
"7","AUS","Sydney","2002-2006","Homosexuals","H","M","35Y44Y","J0246","2288.8 person yrs. of observation.  Jan. 02 - Dec. 06.","I","Australia","Sydney","Jin, F., G. P. Prestage, A. McDonald, et al.",2008,"Trend in HIV Incidence in a Cohort of Homosexual Men in Sydney: Data from the Health in Men Study","Sexual Health, vol. 5, issue 2, pp. 109-112.","HIV","-1","-1","-1.00","1.00","B","WB","N/A"
"1","AUS","Sydney","2001-2007","Gay men","H","M","ALL","P0784","Age range 18-75 yrs.  July 01 - June 07.","I","Australia","Sydney","Prestage, G., F. Jin, S. Kippax, et al.",2009,"Use of IIIicit Drugs and Erectile Dysfunction Medications and Subsequent HIV Infection among Gay Men in Sydney, Australia","Journal of Sexual Medicine, vol. 6, no. 8, pp. 2311-2320.","HIV","53","-1","-1.00","0.78","B","UNK","1,427"
"6","AUS","Sydney","1990","Testing center attendees","O","B","ALL","K0805","Site: Albion Street Centre.  Jan. - 30 June 90.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","0","-1","-1.00","3.80","BW","ELISA*2, WB","N/A"
"8","AUS","Melbourne","2007-2013","MSM & bisexuals","H","M","ALL","C1449","5565 person yrs. of observation.  Located in Victoria state.  MSM=Men having sex w/ men.  Not IVDU.  1 Jan. 07 - 31 Dec. 13.","I","Australia","Melbourne Sexual Health Centre","Cheung, K. T., C. K. Fairley, T. R. H. Read, et al.",2016,"HIV Incidence and Predictors of Incident HIV among Men Who Have Sex with Men Attending a Sexual Health Clinic in ...","PLoS One, vol. 11, no. 5, e0156160, <http://www.plosone.org>, accessed on May 31, 2016.","HIV","-1","-1","-1.00","1.15","B","ELISA, WB","N/A"
"2","AUS","Victoria state","2006-2009","MSM","H","M","ALL","G0779","4837 person yrs. of observation.  Attending three primary care clinics.  MSM=Men having sex w/ men.  Breakdown by age is provided.  1 Apr. 06 - 30 June 09.","I","Australia","Three sites","Guy, R. J., T. Spelman, M. Stoove, et al.",2011,"Risk Factors for HIV Seroconversion in Men Who Have Sex with Men in Victoria, Australia: Results from a Sentinel ...","Sexual Health, vol. 8, no. 3, pp. 319-329, <http://www.publish.csiro.au/journals/sh>, accessed on June 24, 2015.","HIV","60","-1","-1.00","1.24","B","ELISA, WB","3,272"
"7","AUS","Sydney","1985","Homosexuals/bisexuals","H","M","ALL","K0805","Site: Albion Street Centre.  Mar. - Dec. 85.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","7","-1","-1.00","5.70","BW","ELISA, IFA","125"
"4","AUS","Melbourne","2007-2013","MSM & bisexuals","H","M","30Y34Y","C1449","1070 person yrs. of observation.  Located in Victoria state.  MSM=Men having sex w/ men.  1 Jan. 07 - 31 Dec. 13.","I","Australia","Melbourne Sexual Health Centre","Cheung, K. T., C. K. Fairley, T. R. H. Read, et al.",2016,"HIV Incidence and Predictors of Incident HIV among Men Who Have Sex with Men Attending a Sexual Health Clinic in ...","PLoS One, vol. 11, no. 5, e0156160, <http://www.plosone.org>, accessed on May 31, 2016.","HIV","-1","-1","-1.00","1.21","B","ELISA, WB","N/A"
"18","AUS","Sydney","1985-1986","Homosexuals/bisexuals","H","M","20Y29Y","K0805","Site: Albion Street Centre.  Mar. 85 - Dec. 86.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","0","-1","-1.00","5.40","BW","ELISA,IFA/ELISA*2,WB","N/A"
"14","AUS","Sydney","1985-1990","Homosexuals/bisexuals","H","M","20Y29Y","K0805","Site: Albion Street Centre.  Mar. 85 - 30 June 90.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","0","-1","-1.00","5.60","BW","ELISA,IFA/ELISA*2,WB","N/A"
"5","AUS","Sydney","1989","Testing center attendees","O","B","ALL","K0805","Site: Albion Street Centre.  Jan. - Dec. 89.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","0","-1","-1.00","2.50","BW","ELISA*2, WB","N/A"
"2","AUS","Sydney","2001-2007","Homosexuals - uncircumcised","H","M","ALL","T0536","1665.40 person yrs. of observation.  Located in New South Wales state.  June 01 - June 07.","I","Australia","Sydney","Templeton, D. J., F. Jin, L. Mao, et al.",2009,"Circumcision and Risk of HIV Infection in Australian Homosexual Men","AIDS, vol. 23, no. 17, pp. 2347-2351.","HIV","17","-1","-1.00","1.02","B","WB","488"
"17","AUS","Sydney","1985-1990","Homosexuals/bisexuals","H","M","60Y+","K0805","Site: Albion Street Centre.  Mar. 85 - 30 June 90.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","-1","-1","-1.00","0.00","BW","ELISA,IFA/ELISA*2,WB","N/A"
"20","AUS","Sydney","1989-1990","Homosexuals/bisexuals","H","M","20Y29Y","K0805","Site: Albion Street Centre.  Jan. 89 - 30 June 90.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","0","-1","-1.00","6.50","BW","ELISA*2, WB","N/A"
"13","AUS","Sydney","1985-1990","Homosexuals/bisexuals","H","M","<20Y","K0805","Site: Albion Street Centre.  Mar. 85 - 30 June 90.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","0","-1","-1.00","10.80","BW","ELISA,IFA/ELISA*2,WB","N/A"
"4","AUS","Sydney","1988","Testing center attendees","O","B","ALL","K0805","Site: Albion Street Centre.  Jan. - Dec. 88.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","0","-1","-1.00","2.40","BW","ELISA*2, WB","N/A"
"11","AUS","Sydney","1989","Homosexuals/bisexuals","H","M","ALL","K0805","Site: Albion Street Centre.  Jan. - Dec. 89.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","11","-1","-1.00","2.30","BW","ELISA*2, WB","344"
"4","AUS","Victoria state","2006-2009","MSM","H","M","30Y39Y","G0779","1633 person yrs. of observation.  Attending three primary care clinics.  MSM=Men having sex w/ men.  1 Apr. 06 - 30 June 09.","I","Australia","Three sites","Guy, R. J., T. Spelman, M. Stoove, et al.",2011,"Risk Factors for HIV Seroconversion in Men Who Have Sex with Men in Victoria, Australia: Results from a Sentinel ...","Sexual Health, vol. 8, no. 3, pp. 319-329, <http://www.publish.csiro.au/journals/sh>, accessed on June 24, 2015.","HIV","26","-1","-1.00","1.59","B","ELISA, WB","1,014"
"15","AUS","Sydney","1985-1990","Homosexuals/bisexuals","H","M","30Y39Y","K0805","Site: Albion Street Centre.  Mar. 85 - 30 June 90.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","0","-1","-1.00","4.00","BW","ELISA,IFA/ELISA*2,WB","N/A"
"3","AUS","Sydney","1987","Testing center attendees","O","B","ALL","K0805","Site: Albion Street Centre.  Jan. - Dec. 87.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","0","-1","-1.00","3.80","BW","ELISA*2, WB","N/A"
"16","AUS","Sydney","1985-1990","Homosexuals/bisexuals","H","M","40Y59Y","K0805","Site: Albion Street Centre.  Mar. 85 - 30 June 90.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","0","-1","-1.00","2.70","BW","ELISA,IFA/ELISA*2,WB","N/A"
"10","AUS","Sydney","1988","Homosexuals/bisexuals","H","M","ALL","K0805","Site: Albion Street Centre.  Jan. - Dec. 88.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","14","-1","-1.00","2.00","BW","ELISA*2, WB","500"
"8","AUS","Sydney","1986","Homosexuals/bisexuals","H","M","ALL","K0805","Site: Albion Street Centre.  Jan. - Dec. 86.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","25","-1","-1.00","4.20","BW","ELISA*2, WB","491"
"3","AUS","Sydney","2001-2007","Homosexuals - circumcised","H","M","ALL","T0536","3492.0 person yrs. of observation.  Located in New South Wales state.  June 01 - June 07.","I","Australia","Sydney","Templeton, D. J., F. Jin, L. Mao, et al.",2009,"Circumcision and Risk of HIV Infection in Australian Homosexual Men","AIDS, vol. 23, no. 17, pp. 2347-2351.","HIV","29","-1","-1.00","0.83","B","WB","938"
"2","AUS","Melbourne","2007-2013","MSM & bisexuals","H","M","<25Y","C1449","1514 person yrs. of observation.  Located in Victoria state.  MSM=Men having sex w/ men.  1 Jan. 07 - 31 Dec. 13.","I","Australia","Melbourne Sexual Health Centre","Cheung, K. T., C. K. Fairley, T. R. H. Read, et al.",2016,"HIV Incidence and Predictors of Incident HIV among Men Who Have Sex with Men Attending a Sexual Health Clinic in ...","PLoS One, vol. 11, no. 5, e0156160, <http://www.plosone.org>, accessed on May 31, 2016.","HIV","-1","-1","-1.00","1.32","B","ELISA, WB","N/A"
"9","AUS","Melbourne","2007-2013","IVDU homosexuals/bisexuals","I","M","ALL","C1449","83 person yrs. of observation.  Located in Victoria state.  Men having sex w/ men (MSM).  1 Jan. 07 - 31 Dec. 13.","I","Australia","Melbourne Sexual Health Centre","Cheung, K. T., C. K. Fairley, T. R. H. Read, et al.",2016,"HIV Incidence and Predictors of Incident HIV among Men Who Have Sex with Men Attending a Sexual Health Clinic in ...","PLoS One, vol. 11, no. 5, e0156160, <http://www.plosone.org>, accessed on May 31, 2016.","HIV","-1","-1","-1.00","8.43","B","ELISA, WB","N/A"
"3","AUS","Victoria state","2006-2009","MSM","H","M","<30Y","G0779","1615 person yrs. of observation.  Attending three primary care clinics.  MSM=Men having sex w/ men.  1 Apr. 06 - 30 June 09.","I","Australia","Three sites","Guy, R. J., T. Spelman, M. Stoove, et al.",2011,"Risk Factors for HIV Seroconversion in Men Who Have Sex with Men in Victoria, Australia: Results from a Sentinel ...","Sexual Health, vol. 8, no. 3, pp. 319-329, <http://www.publish.csiro.au/journals/sh>, accessed on June 24, 2015.","HIV","16","-1","-1.00","0.99","B","ELISA, WB","1,340"
"1","AUS","Victoria state","1994-1995","Blood donors - regular/repeat","B","B","ALL","W0209","152911 person yrs. of observation.  Victorian Red Cross Blood Bank.  1 Mar. 94 - Dec. 95.","I","Australia","Victoria state","Whyte, G. S., H. F. Savoia",1997,"The Risk of Transmitting HCV, HBV or HIV by Blood Transfusion in Victoria","Medical Journal of Australia, vol. 166, pp. 584-586.","HIV","2","-1","-1.00","0.00","BW","ELISA","358,322"
"12","AUS","Sydney","1990","Homosexuals/bisexuals","H","M","ALL","K0805","Site: Albion Street Centre.  Jan. - 30 June 90.","I","Australia","Albion Street Centre","Kaldor, J., P. Williamson, J. J. Guinan, et al.",1993,"Falling Incidence of HIV Infection in a Cohort of Clinic Attenders","Australian Journal of Public Health, vol. 17, no. 4, pp. 334-338.","HIV","2","-1","-1.00","1.90","BW","ELISA*2, WB","53"
"3","AUS","Melbourne","2007-2013","MSM & bisexuals","H","M","25Y29Y","C1449","1655 person yrs. of observation.  Located in Victoria state.  MSM=Men having sex w/ men.  1 Jan. 07 - 31 Dec. 13.","I","Australia","Melbourne Sexual Health Centre","Cheung, K. T., C. K. Fairley, T. R. H. Read, et al.",2016,"HIV Incidence and Predictors of Incident HIV among Men Who Have Sex with Men Attending a Sexual Health Clinic in ...","PLoS One, vol. 11, no. 5, e0156160, <http://www.plosone.org>, accessed on May 31, 2016.","HIV","-1","-1","-1.00","1.51","B","ELISA, WB","N/A"
